datetime,GF,day,hour
2016-01-21 11:00:00,6839.0,21,11
2016-01-21 12:00:00,7080.999999992549,21,12
2016-01-21 13:00:00,6717.000000001863,21,13
2016-01-21 14:00:00,6779.0,21,14
2016-01-21 15:00:00,6669.000000001863,21,15
2016-01-21 16:00:00,7124.999999996275,21,16
2016-01-21 17:00:00,6871.000000001863,21,17
2016-01-21 18:00:00,7004.000000003725,21,18
2016-01-21 19:00:00,7521.999999994412,21,19
2016-01-21 20:00:00,6181.0,21,20
2016-01-21 21:00:00,6551.000000005588,21,21
2016-01-21 22:00:00,5363.999999998137,21,22
2016-01-21 23:00:00,2990.0000000037253,21,23
2016-01-22 00:00:00,2819.0,22,0
2016-01-22 01:00:00,2943.9999999962747,22,1
2016-01-22 02:00:00,2784.0000000037253,22,2
2016-01-22 03:00:00,2759.9999999962747,22,3
2016-01-22 04:00:00,2798.9999999962747,22,4
2016-01-22 05:00:00,2931.0000000074506,22,5
2016-01-22 06:00:00,2777.0,22,6
2016-01-22 07:00:00,2845.9999999962747,22,7
2016-01-22 08:00:00,3009.9999999962747,22,8
2016-01-22 09:00:00,4900.000000003725,22,9
2016-01-22 10:00:00,6327.000000001863,22,10
2016-01-22 11:00:00,6644.999999996275,22,11
2016-01-22 12:00:00,6882.000000001863,22,12
2016-01-22 13:00:00,6850.0,22,13
2016-01-22 14:00:00,6732.000000001863,22,14
2016-01-22 15:00:00,6618.0,22,15
2016-01-22 16:00:00,6689.999999998137,22,16
2016-01-22 17:00:00,7228.0,22,17
2016-01-22 18:00:00,6675.999999998137,22,18
2016-01-22 19:00:00,6652.000000001863,22,19
2016-01-22 20:00:00,7049.0,22,20
2016-01-22 21:00:00,6839.0,22,21
2016-01-22 22:00:00,4959.000000003725,22,22
2016-01-22 23:00:00,3569.0,22,23
2016-01-23 00:00:00,2722.9999999962747,23,0
2016-01-23 01:00:00,2810.0000000037253,23,1
2016-01-23 02:00:00,2766.9999999925494,23,2
2016-01-23 03:00:00,2706.0000000037253,23,3
2016-01-23 04:00:00,2669.0,23,4
2016-01-23 05:00:00,2722.9999999962747,23,5
2016-01-23 06:00:00,2753.0000000037253,23,6
2016-01-23 07:00:00,2889.0,23,7
2016-01-23 08:00:00,5031.999999998137,23,8
2016-01-23 09:00:00,6217.000000001863,23,9
2016-01-23 10:00:00,6356.0,23,10
2016-01-23 11:00:00,6428.999999996275,23,11
2016-01-23 12:00:00,6362.000000003725,23,12
2016-01-23 13:00:00,6803.999999996275,23,13
2016-01-23 14:00:00,6680.000000009313,23,14
2016-01-23 15:00:00,6954.999999996275,23,15
2016-01-23 16:00:00,6549.0,23,16
2016-01-23 17:00:00,6347.999999998137,23,17
2016-01-23 18:00:00,6555.999999996275,23,18
2016-01-23 19:00:00,7291.000000007451,23,19
2016-01-23 20:00:00,6604.0,23,20
2016-01-23 21:00:00,6287.999999992549,23,21
2016-01-23 22:00:00,4129.0,23,22
2016-01-23 23:00:00,2791.0000000037253,23,23
2016-01-24 00:00:00,2582.9999999962747,24,0
2016-01-24 01:00:00,2606.0,24,1
2016-01-24 02:00:00,2562.0000000018626,24,2
2016-01-24 03:00:00,2694.0000000018626,24,3
2016-01-24 04:00:00,2587.9999999981374,24,4
2016-01-24 05:00:00,2576.0000000018626,24,5
2016-01-24 06:00:00,2532.0,24,6
2016-01-24 07:00:00,2762.0,24,7
2016-01-24 08:00:00,2804.9999999962747,24,8
2016-01-24 09:00:00,6238.000000001863,24,9
2016-01-24 10:00:00,6360.000000003725,24,10
2016-01-24 11:00:00,6425.999999998137,24,11
2016-01-24 12:00:00,6867.999999998137,24,12
2016-01-24 13:00:00,6668.000000001863,24,13
2016-01-24 14:00:00,6315.999999996275,24,14
2016-01-24 15:00:00,6543.0,24,15
2016-01-24 16:00:00,6475.000000007451,24,16
2016-01-24 17:00:00,6851.999999996275,24,17
2016-01-24 18:00:00,7080.000000003725,24,18
